genus,species,accession,phenotype,antibiotic,measurement_value,assign_phenotype,recategorized_MIC
Neisseria,gonorrhoeae,DRR124693,Intermediate,TET,0.5,Susceptible,0.5
Staphylococcus,aureus,DRR170693,Intermediate,ERY,4.0,Susceptible,4.0
Staphylococcus,aureus,DRR170697,Intermediate,ERY,4.0,Susceptible,4.0
Staphylococcus,aureus,DRR170701,Intermediate,ERY,4.0,Susceptible,4.0
Streptococcus,pneumoniae,ERR016633,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016635,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016637,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016639,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016640,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016644,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016645,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016646,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016648,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016650,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016652,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016653,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016654,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016655,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016656,Resistant,ERY,8.0,Resistant,8.0
Streptococcus,pneumoniae,ERR016657,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016658,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016663,Resistant,ERY,8.0,Resistant,8.0
Streptococcus,pneumoniae,ERR016664,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016666,Resistant,ERY,1.0,Resistant,1.0
Streptococcus,pneumoniae,ERR016668,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016669,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016670,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016672,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016679,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016681,Resistant,ERY,32.0,Resistant,32.0
