genus	species	accession	genome	ani	new_genus	phenotype	antibiotic	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_platform	testing_standard	testing_standard_year	publication	isolation_source	isolation_country	collection_date	scientific_name_CAMDA	scientific_name_NCBI	scientific_name_Antibiogram	status	status_reference
Neisseria	gonorrhoeae	SRR1661238	ENA_SAMN03201584	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	NA	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827180	ENA_SAMN07351025	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827125	ENA_SAMN07351011	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827026	ENA_SAMN07351174	0.998	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827271	ENA_SAMN07351256	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827340	ENA_SAMN07351167	0.998	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133911	ENA_SAMEA104313216	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR191807	ENA_SAMEA1690481	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	24462211	urethra	USA	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR2133920	ENA_SAMEA104313225	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827165	ENA_SAMN07351099	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133949	ENA_SAMEA104313254	0.997	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Rectal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661286	ENA_SAMN03201632	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Penis/Urethra	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661256	ENA_SAMN03201602	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Penis/Urethra	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR388428	NA	NA	NA	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	China	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	ERR2133933	ENA_SAMEA104313238	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Rectal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
