genus	species	scientific_name_new	accession	genome	phenotype	antibiotic	measurement_value	ani	new_genus	recategorized_mic	phenotype_assigned
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661238	ENA_SAMN03201584	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827180	ENA_SAMN07351025	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827125	ENA_SAMN07351011	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827026	ENA_SAMN07351174	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827271	ENA_SAMN07351256	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827340	ENA_SAMN07351167	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133911	ENA_SAMEA104313216	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR191807	ENA_SAMEA1690481	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133920	ENA_SAMEA104313225	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827165	ENA_SAMN07351099	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133949	ENA_SAMEA104313254	Susceptible	TET	0.04	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661286	ENA_SAMN03201632	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661256	ENA_SAMN03201602	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388428	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133933	ENA_SAMEA104313238	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133899	ENA_SAMEA104313204	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827257	ENA_SAMN07350945	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827173	ENA_SAMN07351196	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
